Country Code,Country Name,gb_MAE,rf_MAE
PER,Peru,1.8187604329055216,1.7541784492973365
BDI,Burundi,1.8303696101505211,1.1930943419634599
GHA,Ghana,1.868567150403518,4.615076913183905
CUB,Cuba,1.9606528929901554,2.167879935402365
KAZ,Kazakhstan,2.032042679159812,2.7478758496351197
COD,"Congo, Dem. Rep.",2.038485487409439,0.7202172974625666
GNB,Guinea-Bissau,2.1024296330353085,1.2413100436750442
RWA,Rwanda,2.1207397083335566,7.840358751822317
TGO,Togo,2.1529254039951216,1.421248446148494
GNQ,Equatorial Guinea,2.1598329360812327,0.9166246510743002
ZMB,Zambia,2.192916334755692,2.7782181506277754
AGO,Angola,2.237300950140307,2.7026081919850524
COM,Comoros,2.2613416792280963,2.230469271408219
MNP,Northern Mariana Islands,2.3367262604295487,1.7481159563898803
STP,Sao Tome and Principe,2.339321281027659,5.331300337457661
YEM,"Yemen, Rep.",2.3840088171980915,2.371531278637067
SLE,Sierra Leone,2.5385676264578882,2.5622662086934715
UGA,Uganda,2.554609865731769,3.340691964236686
CMR,Cameroon,2.607382450563434,1.7404431942024368
GMB,"Gambia, The",2.6122080246398687,1.4727428097788433
CIV,Cote d'Ivoire,2.6418026826041636,1.3405960406642012
TZA,Tanzania,2.6843009316662125,5.381187968872774
MCO,Monaco,2.8167093691474463,1.572802690306903
MWI,Malawi,2.994895958252508,3.1827807790685503
LSO,Lesotho,3.695627046363261,6.372095433675627
ETH,Ethiopia,3.703905312690463,3.6063080334536486
MOZ,Mozambique,3.783370939116241,2.0153845149856497
NAM,Namibia,4.326245506771459,3.9868961311293836
BWA,Botswana,4.375038079595581,3.945339662292766
ZWE,Zimbabwe,4.512245020535742,4.241832571214359
ZAF,South Africa,5.534557689046874,3.8353665708186275
SWZ,Eswatini,5.536824330846333,4.892175566218814
SOM,"Somalia, Fed. Rep.",6.1467784874563876,6.48333567818797
SYR,Syrian Arab Republic,6.394274221136292,6.4536616924332595
CAF,Central African Republic,7.306168940355169,7.743080816846998
SSD,South Sudan,7.605981823854521,7.478238816441201
HTI,Haiti,9.998519507163307,2.9539278578897017
